region,i,j,z_level,x (mm),y (mm),z (um),time
R0,0,0,0,27.40898125,7.05088125,2719.1718750000005,2024-11-12_15-49-16.656512
R0,1,0,0,27.80903125,7.05088125,2719.1718750000005,2024-11-12_15-49-18.188493
R0,2,0,0,28.20908125,7.05088125,2719.1718750000005,2024-11-12_15-49-19.501204
R0,3,0,0,28.60913125,7.05088125,2719.1718750000005,2024-11-12_15-49-20.764740
R0,4,0,0,29.00918125,7.05088125,2719.1718750000005,2024-11-12_15-49-22.038847
R0,5,0,0,29.40923125,7.05088125,2719.1718750000005,2024-11-12_15-49-23.315070
R0,6,0,0,29.80928125,7.05088125,2719.1718750000005,2024-11-12_15-49-24.589735
R0,7,0,0,30.20933125,7.05088125,2719.1718750000005,2024-11-12_15-49-25.888396
R0,8,0,0,30.60938125,7.05088125,2719.1718750000005,2024-11-12_15-49-27.192418
R0,9,0,0,31.00943125,7.05088125,2719.1718750000005,2024-11-12_15-49-28.457120
R0,10,0,0,31.40948125,7.05088125,2719.1718750000005,2024-11-12_15-49-29.693419
R0,11,0,0,31.80953125,7.05088125,2719.1718750000005,2024-11-12_15-49-30.966397
R0,12,0,0,32.20958125,7.05088125,2719.1718750000005,2024-11-12_15-49-32.250953
R0,13,0,0,32.60963125,7.05088125,2719.1718750000005,2024-11-12_15-49-33.563674
R0,14,0,0,33.00968125,7.05088125,2719.1718750000005,2024-11-12_15-49-34.871041
R0,14,1,0,33.00968125,7.45093125,2719.1718750000005,2024-11-12_15-49-36.163480
R0,13,1,0,32.60963125,7.45093125,2719.1718750000005,2024-11-12_15-49-37.465680
R0,12,1,0,32.20958125,7.45093125,2719.1718750000005,2024-11-12_15-49-38.775971
R0,11,1,0,31.80953125,7.45093125,2719.1718750000005,2024-11-12_15-49-40.101316
R0,10,1,0,31.40948125,7.45093125,2719.1718750000005,2024-11-12_15-49-41.453449
R0,9,1,0,31.00943125,7.45093125,2719.1718750000005,2024-11-12_15-49-42.732371
R0,8,1,0,30.60938125,7.45093125,2719.1718750000005,2024-11-12_15-49-44.041156
R0,7,1,0,30.20933125,7.45093125,2719.1718750000005,2024-11-12_15-49-45.331610
R0,6,1,0,29.80928125,7.45093125,2719.1718750000005,2024-11-12_15-49-46.637988
R0,5,1,0,29.40923125,7.45093125,2719.1718750000005,2024-11-12_15-49-47.913349
R0,4,1,0,29.00918125,7.45093125,2719.1718750000005,2024-11-12_15-49-49.264125
R0,3,1,0,28.60913125,7.45093125,2719.1718750000005,2024-11-12_15-49-50.557920
R0,2,1,0,28.20908125,7.45093125,2719.1718750000005,2024-11-12_15-49-51.854670
R0,1,1,0,27.80903125,7.45093125,2719.1718750000005,2024-11-12_15-49-53.117287
R0,0,1,0,27.40898125,7.45093125,2719.1718750000005,2024-11-12_15-49-54.379307
R0,0,2,0,27.40898125,7.850981249999999,2719.1718750000005,2024-11-12_15-49-55.744510
R0,1,2,0,27.80903125,7.850981249999999,2719.1718750000005,2024-11-12_15-49-57.170859
R0,2,2,0,28.20908125,7.850981249999999,2719.1718750000005,2024-11-12_15-49-58.534900
R0,3,2,0,28.60913125,7.850981249999999,2719.1718750000005,2024-11-12_15-49-59.813133
R0,4,2,0,29.00918125,7.850981249999999,2719.1718750000005,2024-11-12_15-50-01.105675
R0,5,2,0,29.40923125,7.850981249999999,2719.1718750000005,2024-11-12_15-50-02.412957
R0,6,2,0,29.80928125,7.850981249999999,2719.1718750000005,2024-11-12_15-50-03.757365
R0,7,2,0,30.20933125,7.850981249999999,2719.1718750000005,2024-11-12_15-50-05.069148
